PlowType, Longitude, Latitude, Datestamp
2005 Freightliner FL70 S/A, -119.446373, 49.8879242, 26-12-2015 5:35:00 PM
2005 Freightliner FL70 S/A, -119.44635, 49.8879242, 26-12-2015 5:35:36 PM
2005 Freightliner FL70 S/A, -119.446243, 49.8877945, 26-12-2015 5:40:15 PM
2005 Freightliner FL70 S/A, -119.447578, 49.8853874, 26-12-2015 5:44:48 PM
2005 Freightliner FL70 S/A, -119.454514, 49.8855667, 26-12-2015 5:47:12 PM
2005 Freightliner FL70 S/A, -119.464348, 49.8912239, 26-12-2015 5:48:58 PM
2005 Freightliner FL70 S/A, -119.476067, 49.893528, 26-12-2015 5:50:31 PM
2005 Freightliner FL70 S/A, -119.476509, 49.8935814, 26-12-2015 5:50:37 PM
2005 Freightliner FL70 S/A, -119.476913, 49.8939667, 26-12-2015 5:51:38 PM
2005 Freightliner FL70 S/A, -119.477142, 49.8864632, 26-12-2015 5:53:53 PM
2005 Freightliner FL70 S/A, -119.477577, 49.8863106, 26-12-2015 5:54:10 PM
2005 Freightliner FL70 S/A, -119.478531, 49.8863106, 26-12-2015 5:54:19 PM
2005 Freightliner FL70 S/A, -119.488129, 49.8863106, 26-12-2015 5:57:40 PM
2005 Freightliner FL70 S/A, -119.488945, 49.8863106, 26-12-2015 5:57:52 PM
2005 Freightliner FL70 S/A, -119.499443, 49.884594, 26-12-2015 6:02:29 PM
2005 Freightliner FL70 S/A, -119.488541, 49.8839798, 26-12-2015 6:05:44 PM
2005 Freightliner FL70 S/A, -119.48838, 49.8832626, 26-12-2015 6:07:25 PM
2005 Freightliner FL70 S/A, -119.497673, 49.8835983, 26-12-2015 6:16:34 PM
2005 Freightliner FL70 S/A, -119.489334, 49.8863106, 26-12-2015 6:23:36 PM
2005 Freightliner FL70 S/A, -119.488541, 49.8935547, 26-12-2015 6:27:19 PM
2005 Freightliner FL70 S/A, -119.490379, 49.8863373, 26-12-2015 6:29:33 PM
2005 Freightliner FL70 S/A, -119.497879, 49.8863602, 26-12-2015 6:31:39 PM
2005 Freightliner FL70 S/A, -119.494629, 49.8862839, 26-12-2015 6:33:29 PM
2005 Freightliner FL70 S/A, -119.475151, 49.8933258, 26-12-2015 6:41:29 PM
2005 Freightliner FL70 S/A, -119.454643, 49.8865166, 26-12-2015 6:44:34 PM
2005 Freightliner FL70 S/A, -119.454567, 49.8848763, 26-12-2015 6:44:55 PM
2005 Freightliner FL70 S/A, -119.448318, 49.8832397, 26-12-2015 6:46:08 PM
2005 Freightliner FL70 S/A, -119.447861, 49.8863602, 26-12-2015 6:47:06 PM
2005 Freightliner FL70 S/A, -119.446297, 49.8884354, 26-12-2015 6:50:07 PM
2005 Freightliner FL70 S/A, -119.488464, 49.8838005, 26-12-2015 6:58:45 PM
2005 Freightliner FL70 S/A, -119.493324, 49.8863373, 26-12-2015 7:12:30 PM
2005 Freightliner FL70 S/A, -119.490173, 49.8893814, 26-12-2015 7:15:59 PM
2005 Freightliner FL70 S/A, -119.490128, 49.8889999, 26-12-2015 7:24:45 PM
2005 Freightliner FL70 S/A, -119.497673, 49.8863106, 26-12-2015 7:35:51 PM
2005 Freightliner FL70 S/A, -119.493477, 49.886795, 26-12-2015 7:44:58 PM
2005 Freightliner FL70 S/A, -119.489922, 49.8844147, 26-12-2015 7:46:26 PM
2005 Freightliner FL70 S/A, -119.491402, 49.8837776, 26-12-2015 7:46:53 PM
2005 Freightliner FL70 S/A, -119.496605, 49.8907394, 26-12-2015 7:49:31 PM
2005 Freightliner FL70 S/A, -119.477531, 49.8935051, 26-12-2015 7:52:39 PM
2005 Freightliner FL70 S/A, -119.45459, 49.8865166, 26-12-2015 7:55:28 PM
2005 Freightliner FL70 S/A, -119.454643, 49.8842125, 26-12-2015 7:56:31 PM
2005 Freightliner FL70 S/A, -119.454437, 49.8831367, 26-12-2015 7:56:50 PM
2005 Freightliner FL70 S/A, -119.451447, 49.883316, 26-12-2015 7:57:22 PM
2005 Freightliner FL70 S/A, -119.448395, 49.883213, 26-12-2015 7:57:52 PM
2005 Freightliner FL70 S/A, -119.447525, 49.8840332, 26-12-2015 7:58:48 PM
2005 Freightliner FL70 S/A, -119.447502, 49.8849297, 26-12-2015 7:58:56 PM
2005 Freightliner FL70 S/A, -119.447556, 49.8853645, 26-12-2015 8:10:58 PM
2005 Freightliner FL70 S/A, -119.454468, 49.8853645, 26-12-2015 8:13:12 PM
2005 Freightliner FL70 S/A, -119.454514, 49.8861046, 26-12-2015 8:13:19 PM
2005 Freightliner FL70 S/A, -119.47448, 49.8933754, 26-12-2015 8:15:55 PM
2005 Freightliner FL70 S/A, -119.475914, 49.8935814, 26-12-2015 8:16:05 PM
2005 Freightliner FL70 S/A, -119.491714, 49.8926582, 26-12-2015 8:18:41 PM
2005 Freightliner FL70 S/A, -119.47702, 49.893631, 26-12-2015 8:22:02 PM
2005 Freightliner FL70 S/A, -119.487564, 49.8935814, 26-12-2015 8:23:19 PM
2005 Freightliner FL70 S/A, -119.494934, 49.8917122, 26-12-2015 8:27:42 PM
2005 Freightliner FL70 S/A, -119.493507, 49.8916855, 26-12-2015 8:28:06 PM
2005 Freightliner FL70 S/A, -119.491325, 49.8935814, 26-12-2015 8:30:32 PM
2005 Freightliner FL70 S/A, -119.489357, 49.8935814, 26-12-2015 8:30:44 PM
2005 Freightliner FL70 S/A, -119.496498, 49.8915825, 26-12-2015 8:33:08 PM
2005 Freightliner FL70 S/A, -119.496651, 49.8913269, 26-12-2015 8:33:17 PM
2005 Freightliner FL70 S/A, -119.497955, 49.8864403, 26-12-2015 8:34:50 PM
2005 Freightliner FL70 S/A, -119.498955, 49.8862839, 26-12-2015 8:35:05 PM
2005 Freightliner FL70 S/A, -119.489922, 49.8839035, 26-12-2015 8:38:10 PM
2005 Freightliner FL70 S/A, -119.489098, 49.8863373, 26-12-2015 8:39:22 PM
2005 Freightliner FL70 S/A, -119.49189, 49.8893585, 26-12-2015 8:41:23 PM
2005 Freightliner FL70 S/A, -119.490227, 49.8926353, 26-12-2015 8:42:49 PM
2005 Freightliner FL70 S/A, -119.479729, 49.8935051, 26-12-2015 8:44:24 PM
2005 Freightliner FL70 S/A, -119.45459, 49.8864136, 26-12-2015 8:47:24 PM
2005 Freightliner FL70 S/A, -119.454544, 49.8847237, 26-12-2015 8:47:42 PM
2005 Freightliner FL70 S/A, -119.448189, 49.883213, 26-12-2015 8:49:00 PM
2005 Freightliner FL70 S/A, -119.447754, 49.8863373, 26-12-2015 8:49:48 PM
2005 Freightliner FL70 S/A, -119.448189, 49.887413, 26-12-2015 8:50:18 PM
2005 Freightliner FL70 S/A, -119.447914, 49.8864136, 26-12-2015 8:54:45 PM
2005 Freightliner FL70 S/A, -119.448296, 49.8872337, 26-12-2015 8:59:46 PM
2005 Freightliner FL70 S/A, -119.44783, 49.8874359, 26-12-2015 9:03:43 PM
2005 Freightliner FL70 S/A, -119.44799, 49.8865395, 26-12-2015 9:29:43 PM
2005 Freightliner FL70 S/A, -119.44799, 49.8865395, 26-12-2015 9:30:02 PM
2005 Freightliner FL70 S/A, -119.44799, 49.8865395, 26-12-2015 9:30:19 PM
2005 Freightliner FL70 S/A, -119.45459, 49.8756104, 26-12-2015 9:33:42 PM
2005 Freightliner FL70 S/A, -119.45459, 49.8756104, 26-12-2015 9:33:53 PM
2005 Freightliner FL70 S/A, -119.453979, 49.8756866, 26-12-2015 9:37:17 PM
2005 Freightliner FL70 S/A, -119.453979, 49.8756866, 26-12-2015 9:37:19 PM
2005 Freightliner FL70 S/A, -119.449547, 49.9106293, 26-12-2015 9:48:21 PM
2005 Freightliner FL70 S/A, -119.449547, 49.9106293, 26-12-2015 9:48:25 PM
2005 Freightliner FL70 S/A, -119.449547, 49.9106293, 26-12-2015 9:48:30 PM
2005 Freightliner FL70 S/A, -119.45462, 49.8866692, 26-12-2015 9:59:36 PM
2005 Freightliner FL70 S/A, -119.45462, 49.8865166, 26-12-2015 9:59:39 PM
2005 Freightliner FL70 S/A, -119.454208, 49.8755836, 26-12-2015 10:02:57 PM
2005 Freightliner FL70 S/A, -119.453949, 49.8756866, 26-12-2015 10:10:23 PM
2005 Freightliner FL70 S/A, -119.453949, 49.8756866, 26-12-2015 10:10:23 PM
2005 Freightliner FL70 S/A, -119.453949, 49.8756866, 26-12-2015 10:10:31 PM
2005 Freightliner FL70 S/A, -119.454437, 49.8861313, 26-12-2015 10:14:05 PM
2005 Freightliner FL70 S/A, -119.454437, 49.8864403, 26-12-2015 10:14:09 PM
2005 Freightliner FL70 S/A, -119.421822, 50.0030708, 26-12-2015 10:35:57 PM
2005 Freightliner FL70 S/A, -119.421875, 50.0031471, 26-12-2015 10:36:00 PM
2005 Freightliner FL70 S/A, -119.424232, 49.9685898, 26-12-2015 10:43:18 PM
2005 Freightliner FL70 S/A, -119.424255, 49.9685631, 26-12-2015 10:43:21 PM
2005 Freightliner FL70 S/A, -119.450729, 49.9770355, 26-12-2015 10:50:36 PM
2005 Freightliner FL70 S/A, -119.450653, 49.9769859, 26-12-2015 10:50:47 PM
2005 Freightliner FL70 S/A, -119.450653, 49.9768562, 26-12-2015 10:56:53 PM
2005 Freightliner FL70 S/A, -119.445297, 49.9723015, 26-12-2015 10:59:03 PM
2005 Freightliner FL70 S/A, -119.445328, 49.9722748, 26-12-2015 10:59:12 PM
2005 Freightliner FL70 S/A, -119.445732, 49.9717636, 26-12-2015 11:00:04 PM
2005 Freightliner FL70 S/A, -119.445686, 49.9717636, 26-12-2015 11:00:11 PM
2005 Freightliner FL70 S/A, -119.445198, 49.9715576, 26-12-2015 11:00:47 PM
2005 Freightliner FL70 S/A, -119.459381, 49.9630318, 26-12-2015 11:04:47 PM
2005 Freightliner FL70 S/A, -119.459404, 49.9629822, 26-12-2015 11:04:52 PM
2005 Freightliner FL70 S/A, -119.455948, 49.9670792, 26-12-2015 11:06:47 PM
2005 Freightliner FL70 S/A, -119.455925, 49.9671059, 26-12-2015 11:06:51 PM
2005 Freightliner FL70 S/A, -119.456764, 49.962471, 26-12-2015 11:09:07 PM
2005 Freightliner FL70 S/A, -119.456718, 49.9625206, 26-12-2015 11:09:11 PM
2005 Freightliner FL70 S/A, -119.434059, 49.9345932, 26-12-2015 11:22:26 PM
2005 Freightliner FL70 S/A, -119.434059, 49.9345932, 26-12-2015 11:22:26 PM
2005 Freightliner FL70 S/A, -119.434036, 49.9344902, 26-12-2015 11:22:30 PM
2005 Freightliner FL70 S/A, -119.433754, 49.9350281, 26-12-2015 11:23:48 PM
2005 Freightliner FL70 S/A, -119.433601, 49.9350777, 26-12-2015 11:23:53 PM
2005 Freightliner FL70 S/A, -119.426308, 49.9484673, 26-12-2015 11:26:31 PM
2005 Freightliner FL70 S/A, -119.426712, 49.9477005, 26-12-2015 11:27:11 PM
2005 Freightliner FL70 S/A, -119.426308, 49.9484406, 26-12-2015 11:27:32 PM
2005 Freightliner FL70 S/A, -119.426613, 49.9478531, 26-12-2015 11:28:12 PM
2005 Freightliner FL70 S/A, -119.412941, 49.9451141, 26-12-2015 11:30:55 PM
2005 Freightliner FL70 S/A, -119.413116, 49.9451141, 26-12-2015 11:32:22 PM
2005 Freightliner FL70 S/A, -119.426331, 49.9484673, 26-12-2015 11:34:38 PM
